"title","eps","src","genres","scormem"
"Bakemonogatari","15 eps","Light novel","Romance              Supernatural              Mystery              Vampire","906,041                    8.36"
"Mahou Shoujo Madoka★Magica","12 eps","Original","Psychological              Drama              Magic              Thriller","847,239                    8.40"
"Nisekoi","20 eps","Manga","Harem              Comedy              Romance              School              Shounen","713,545                    7.70"
"Nisemonogatari","11 eps","Light novel","Mystery              Comedy              Supernatural              Ecchi","492,820                    8.19"
"Monogatari Series: Second Season","26 eps","Light novel","Mystery              Comedy              Supernatural              Romance              Vampire","433,211                    8.77"
"Nisekoi:","12 eps","Manga","Comedy              Harem              Romance              School              Shounen","409,462                    7.43"
"Nekomonogatari: Kuro","4 eps","Light novel","Comedy              Supernatural              Romance              Ecchi","359,049                    8.01"
"3-gatsu no Lion","22 eps","Manga","Drama              Game              Seinen              Slice of Life","357,263                    8.45"
"Mekakucity Actors","12 eps","Music","Sci-Fi              Comedy              Super Power              Supernatural              Romance","339,349                    7.12"
"Kizumonogatari I: Tekketsu-hen","1 ep","Light novel","Vampire","305,588                    8.42"
"Owarimonogatari","12 eps","Light novel","Mystery              Comedy              Supernatural              Vampire","296,767                    8.46"
"Hanamonogatari","5 eps","Light novel","Mystery              Comedy              Supernatural","274,968                    8.02"
"Tsukimonogatari","4 eps","Light novel","Mystery              Comedy              Supernatural              Ecchi","266,742                    8.16"
"Arakawa Under the Bridge","13 eps","Manga","Comedy              Romance              Seinen","261,446                    7.62"
"Sayonara Zetsubou Sensei","12 eps","Manga","Comedy              Parody              School              Shounen","259,899                    7.92"
"Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari","1 ep","Original","Mystery              Psychological              Drama              Magic              Thriller","255,428                    8.44"
"Kizumonogatari III: Reiketsu-hen","1 ep","Light novel","Action              Mystery              Supernatural              Vampire","247,397                    8.83"
"Kizumonogatari II: Nekketsu-hen","1 ep","Light novel","Action              Mystery              Supernatural              Vampire","245,768                    8.64"
"Denpa Onna to Seishun Otoko","12 eps","Light novel","Sci-Fi              Slice of Life              Comedy","231,034                    7.21"
"Owarimonogatari 2nd Season","7 eps","Light novel","Mystery              Comedy              Supernatural              Vampire","218,616                    8.94"
"ef: A Tale of Memories.","12 eps","Visual novel","Mystery              Drama              Romance","208,375                    7.98"
"3-gatsu no Lion 2nd Season","22 eps","Manga","Drama              Game              Seinen              Slice of Life","202,824                    9.03"
"Dance in the Vampire Bund","12 eps","Manga","Action              Supernatural              Vampire","177,330                    7.09"
"Koyomimonogatari","12 eps","Light novel","Comedy              Mystery              Supernatural","150,756                    7.72"
"Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari","1 ep","Original","Drama              Magic              Psychological              Thriller","146,749                    8.39"
"Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari","1 ep","Original","Psychological              Drama              Magic              Thriller","145,536                    8.22"
"ef: A Tale of Melodies.","12 eps","Visual novel","Mystery              Supernatural              Drama              Romance","139,104                    8.07"
"Maria†Holic","12 eps","Manga","Comedy              Parody              School              Shoujo Ai","138,938                    7.08"
"Fate/Extra: Last Encore","10 eps","Game","Action              Fantasy              Magic","130,320                    6.35"
"Arakawa Under the Bridge x Bridge","13 eps","Manga","Comedy              Romance              Seinen","124,686                    7.77"
"Nisekoi OVA","3 eps","Manga","Comedy              Harem              Romance              School              Shounen","112,770                    7.44"
"Zoku Owarimonogatari","6 eps","Light novel","Mystery              Comedy              Supernatural              Vampire","111,605                    8.37"
"Zoku Sayonara Zetsubou Sensei","13 eps","Manga","Comedy              Parody              School              Shounen","103,209                    7.94"
"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?","1 ep","Other","Romance              Sci-Fi","101,060                    6.28"
"Rec","9 eps","Manga","Comedy              Drama              Romance              Seinen","93,677                    7.37"
"Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV)","13 eps","Game","Psychological              Drama              Magic              Thriller","87,557                    6.69"
"Zan Sayonara Zetsubou Sensei","13 eps","Manga","Comedy              Parody              School              Shounen","81,164                    7.92"
"Sasami-san@Ganbaranai","12 eps","Light novel","Comedy              Romance              Supernatural","71,124                    6.69"
"Negima!?","26 eps","Manga","Adventure              Harem              Comedy              Supernatural              Magic              Romance              Ecchi              Fantasy              School","71,061                    7.05"
"Kore ga Watashi no Goshujinsama","12 eps","Manga","Comedy              Ecchi              Slice of Life","67,409                    6.58"
"Kubikiri Cycle: Aoiro Savant to Zaregototsukai","8 eps","Novel","Action              Mystery              Supernatural              Drama","66,385                    7.84"
"Koufuku Graffiti","12 eps","4-koma manga","Slice of Life              Comedy              Seinen","66,226                    6.81"
"Hidamari Sketch","12 eps","4-koma manga","Comedy              School              Seinen              Slice of Life","62,254                    7.46"
"Tsukuyomi: Moon Phase","25 eps","Manga","Comedy              Fantasy              Romance              Seinen              Vampire","61,309                    7.03"
"Nisekoi: OVA","2 eps","Manga","Harem              Comedy              Parody              Magic              Romance              Shounen","54,666                    7.11"
"Maria†Holic Alive","12 eps","Manga","Comedy              Parody              School              Shoujo Ai","53,634                    7.00"
"Goku Sayonara Zetsubou Sensei","3 eps","Manga","Comedy              Parody              School              Shounen","53,430                    7.87"
"Kono Minikuku mo Utsukushii Sekai","12 eps","Original","Sci-Fi              Comedy              Drama              Magic              Romance              Ecchi","51,836                    6.79"
"Paniponi Dash!","26 eps","Manga","Comedy              Parody              School","51,070                    7.47"
"Mahoromatic: Automatic Maiden","12 eps","Manga","Comedy              Ecchi              Military              Romance              Sci-Fi","50,394                    7.20"
"Denpa Onna to Seishun Otoko: Mayonaka no Taiyou","1 ep","Light novel","Sci-Fi              Comedy","48,986                    7.34"
"Soredemo Machi wa Mawatteiru","12 eps","Manga","Slice of Life              Comedy              Seinen","46,448                    7.45"
"Natsu no Arashi!","13 eps","Manga","Comedy              Romance              Supernatural","42,393                    7.30"
"Bakemonogatari Recap","1 ep","Light novel","Mystery              Romance              Supernatural","41,705                    7.33"
"Kino no Tabi: The Beautiful World - Byouki no Kuni - For You","1 ep","Light novel","Adventure              Drama              Fantasy","37,813                    7.74"
"Fate/Extra: Last Encore - Illustrias Tendousetsu","3 eps","Game","Action              Fantasy              Magic","37,416                    6.62"
"Nisekoimonogatari","1 ep","Other","Music","33,099                    6.89"
"Zan Sayonara Zetsubou Sensei Bangaichi","2 eps","Manga","Comedy              Parody              School              Shounen","32,075                    7.82"
"Mahoromatic: Motto Utsukushii Mono","14 eps","Manga","Military              Sci-Fi              Comedy              Drama              Romance              Ecchi","27,413                    7.20"
"ef: A Tale of Memories. - Prologue","1 ep","Visual novel","Drama              Music","26,535                    7.12"
"NieA Under 7","13 eps","Original","Comedy              Sci-Fi              Slice of Life","25,990                    6.87"
"Hidamari Sketch x 365","13 eps","4-koma manga","Slice of Life              Comedy              School              Seinen","25,822                    7.84"
"Katte ni Kaizou","6 eps","Manga","Comedy              Parody              School              Sci-Fi              Shounen","25,646                    6.93"
"Mahou Sensei Negima!: Shiroki Tsubasa Ala Alba","3 eps","Manga","Adventure              Harem              Comedy              Supernatural              Magic              Romance              Ecchi              Vampire              Shounen","25,531                    7.50"
"Cyborg 009: The Cyborg Soldier","50 eps","Manga","Action              Sci-Fi              Adventure              Mecha              Shounen","23,410                    7.30"
"Hidamari Sketch x ☆☆☆","12 eps","4-koma manga","Slice of Life              Comedy              School              Seinen","21,996                    7.93"
"Rec: Yurusarezarumono","1 ep","Manga","Comedy              Drama              Romance              Seinen","20,913                    7.19"
"Mahou Sensei Negima!: Mou Hitotsu no Sekai","4 eps","Manga","Action              Adventure              Supernatural              Magic              Ecchi              Shounen","20,022                    7.67"
"Popotan","12 eps","Visual novel","Comedy              Drama              Ecchi              Supernatural","19,913                    6.31"
"Mahou Shoujo Madoka★Magica: Concept Movie","1 ep","Original","Drama              Magic              Psychological              Thriller","18,453                    7.12"
"Hidamari Sketch x Honeycomb","12 eps","4-koma manga","Slice of Life              Comedy              School              Seinen","18,372                    7.95"
"Negima!? Haru Special!?","1 ep","Manga","Ecchi              Fantasy              Magic              Comedy              Harem              Romance              Super Power              Shounen","17,298                    7.12"
"Hidamari Sketch Specials","2 eps","4-koma manga","Slice of Life              Comedy              School              Seinen","17,145                    7.55"
"ef: A Tale of Melodies. - Prologue","1 ep","Visual novel","Music","16,964                    7.30"
"Mahou Sensei Negima! Movie: Anime Final","1 ep","Manga","Adventure              Supernatural              Magic","16,757                    6.80"
"Natsu no Arashi! Akinaichuu","13 eps","Manga","Comedy              Romance              Supernatural","16,365                    7.34"
"Negima!? Natsu Special!?","1 ep","Manga","Ecchi              Fantasy              Comedy              Romance","15,611                    7.14"
"Sayonara Zetsubou Sensei Special","1 ep","Manga","Comedy              Mystery              Parody              Shounen","14,432                    7.52"
"Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu","1 ep","Manga","Comedy              Parody              School","14,332                    7.45"
"Hidamari Sketch x 365 Specials","3 eps","4-koma manga","Slice of Life              Comedy              School              Seinen","14,212                    7.75"
"Uchiage Hanabi","1 ep","Other","Music","13,385                    7.67"
"Owarimonogatari 2nd Season Recaps","2 eps","Light novel","Mystery              Comedy              Supernatural              Vampire","13,246                    7.81"
"Dance in the Vampire Bund: Special Edition","1 ep","Manga","Action              Supernatural              Vampire","13,055                    6.56"
"Hidamari Sketch x ☆☆☆ Specials","2 eps","4-koma manga","Slice of Life              Comedy              School              Seinen","12,063                    7.84"
"ef: A Tale of Memories. - Recollections","1 ep","Visual novel","Mystery              Drama              Romance","11,715                    7.35"
"Hidamari Sketch x SP","2 eps","4-koma manga","Slice of Life              Comedy              School              Seinen","11,596                    7.81"
"Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin","4 eps","Other","Comedy","11,572                    6.24"
"3-gatsu no Lion Recap","1 ep","Manga","Drama","11,170                    6.73"
"Koyomi History","1 ep","Light novel","Comedy","10,810                    6.57"
"Sakura Tsuushin","12 eps","Manga","Comedy              Drama              Romance              Slice of Life","10,703                    6.23"
"Hidamari Sketch: Sae Hiro Sotsugyou-hen","2 eps","4-koma manga","Slice of Life              Comedy              School              Seinen","10,177                    8.10"
"Tsukuyomi: Moon Phase Special","1 ep","Manga","Comedy              Dementia              Slice of Life","10,158                    6.67"
"Mahoromatic Summer Special","1 ep","Manga","Ecchi              Romance              Comedy              Sci-Fi","9,674                    7.14"
"Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu","1 ep","Manga","Comedy              Parody              School","8,835                    7.46"
"Magical Suite Prism Nana","7 eps","Original","Magic","8,400                    6.27"
"Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku","1 ep","Manga","Parody              Comedy              School","8,365                    7.53"
"Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥","1 ep","Manga","Action              Adventure              Magic              Ecchi              Fantasy              School              Shounen","7,896                    7.30"
"Okitegami Kyouko no Bibouroku x Monogatari","1 ep","Light novel","Supernatural","6,732                    5.79"
"Assault Lily: Bouquet","? eps","Other","Action              Magic              Fantasy","6,541                    N/A"
"Nekomonogatari: Kuro Recap","1 ep","Light novel","Supernatural","5,995                    6.86"
"Mahoromatic End Year Special","1 ep","Manga","Ecchi              Romance              Comedy              Military              Sci-Fi","5,814                    6.94"
"Answer (2016)","1 ep","Manga","Music              Drama              Seinen","5,670                    7.31"
"Sayonara Zetsubou Sensei Special Omake","1 ep","Manga","Comedy              Parody              School","5,302                    6.59"
"Hungry Days: Aoharu ka yo.","? eps","Other","Slice of Life              Magic              Romance","5,226                    5.93"
"Hikari no Megami","1 ep","Game","Action              Fantasy","5,212                    6.62"
"Arcade Gamer Fubuki","4 eps","Original","Action              Comedy              Ecchi              Parody              Shounen              Sports              Super Power","5,132                    5.28"
"Attacker You!","58 eps","Manga","Action              Romance              Shoujo              Sports","4,767                    6.58"
"Shina Dark: Kuroki Tsuki no Ou to Souheki no Tsuki no Himegimi","4 eps","Manga","Harem              Music              Ecchi              Fantasy              Seinen","4,673                    6.10"
"G-On Riders","13 eps","Original","Action              Sci-Fi              Comedy              School","3,599                    5.87"
"Ken to Mahou no Logres: Inishie no Megami x Fate/Extella","1 ep","Game","Game              Music","3,386                    5.59"
"Shin Hikari Shinwa: Palutena no Kagami","3 eps","Game","Adventure              Fantasy              Comedy","3,177                    6.42"
"Kakushigoto","1 ep","Manga","Comedy","3,124                    5.95"
"Hidamari Sketch: Chou Hidamatsuri Special","1 ep","4-koma manga","Comedy","2,560                    6.54"
"Sou: Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?-hen","1 ep","Other","Slice of Life","2,554                    5.60"
"Dotto Koni-chan","26 eps","Original","Comedy","2,467                    7.28"
"Katte ni Kaizou Specials","3 eps","Manga","Comedy              Parody              School              Sci-Fi              Shounen","2,465                    6.46"
"Lion meets HachiClo","2 eps","Manga","Parody              Seinen              Slice of Life","2,440                    5.90"
"Akuma no Memumemu-chan","1 ep","Manga","Comedy              Demons              Ecchi              Shounen","2,431                    5.71"
"New My Tear CL Series","1 ep","Other","Slice of Life","2,111                    5.46"
"Arcade Gamer Fubuki Extra","1 ep","Original","Action              Ecchi              Parody              Adventure              Game              Comedy              School","1,687                    4.81"
"Juuni Senshi Bakuretsu Eto Ranger","39 eps","Original","Action              Fantasy              Comedy","1,478                    6.81"
"Ikebukuro PR Anime","1 ep","Original","Fantasy","1,166                    6.12"
"Hidamari Sketch Recap","1 ep","4-koma manga","Slice of Life              Comedy              School","1,065                    6.31"
"Hidamari Sketch x ☆☆☆ Recap","1 ep","4-koma manga","Slice of Life              Comedy              School","959                    6.42"
"Hidamari Sketch x 365 Recap","1 ep","4-koma manga","Slice of Life              Comedy              School","940                    6.19"
"Yume kara, Samenai","1 ep","-","Romance              School","889                    4.95"
"G-On Riders Special","1 ep","Original","Sci-Fi              Comedy              Ecchi","692                    5.72"
"Mori no Tonto-tachi","23 eps","-","Fantasy              Kids","491                    6.17"
"IRoid: Koi no Yuukou Frontier","1 ep","Game","Game","245                    N/A"
"Hitotsuboshi-ke no Ultra Baasan","13 eps","-","Comedy              Slice of Life","243                    N/A"
